#  Computed using PBH limits in DarkSUSY 5.1.2
#  by adding the following code snippets to
#  test/dstest-ucmh.h, along with relevant
#  declarations.
#
#      call dspbh_init
#      do i = 0, 5263
#        k = 10.d0**(2.d0 + dble(i)/2000.d0*8.d0)
#        betashare = dspbh_limits(k)
#        log10PR = zeroin(0.d0, -10.d0, diff_PR, 1.d-5)
#        write(*,*) k, log10PR
#      enddo
#
#      double precision function diff_PR(logP)
#      implicit none
#      double precision, intent(IN) :: logP
#      double precision :: betashare, dsucmh_beta_generalised
#      common /adhoc/betashare
#      diff_PR =       dsucmh_beta_generalised(logP,1.d0/3.d0,5.d0) - betashare
#      end function diff_PR
#
#  Pat Scott Nov 3 2015
#
#  k (Mpc^-1)               log10(P_R max)
   3104.5595881283557       -2.6386481158713204
   3133.2857243155854       -2.6388789719229462
   3162.2776601683795       -2.6391097068454035
   3191.5378551007616       -2.6392583266881195
   3221.0687912834346       -2.6392584291106185
   3250.8729738543439       -2.6392585315330930
   3280.9529311311903       -2.6394688881330501
   3311.3112148259111       -2.6396991759944028
   3341.9504002611429       -2.6399285650246442
   3372.8730865886891       -2.6401579956195769
   3404.0818970100090       -2.6403818359489568
   3435.5794789987463       -2.6403819378604720
   3467.3685045253169       -2.6403820397719850
   3499.4516702835731       -2.6405204080833276
   3531.8316979195702       -2.6407498350482781
   3564.5113342624427       -2.6409477936645458
   3597.4933515574235       -2.6409478955449259
   3630.7805477010138       -2.6409479974252963
   3664.3757464783334       -2.6411071442969436
   3698.2817978026628       -2.6413364536583783
   3732.5015779572063       -2.6415656953450339
   3767.0379898390893       -2.6417948601239201
   3801.8939632056126       -2.6420239403233481
   3837.0724549227884       -2.6420685042845777
   3872.5764492161729       -2.6420686060058425
   3908.4089579240213       -2.6421516652745187
   3944.5730207527849       -2.6423804976838996
   3981.0717055349733       -2.6426093588005686
   4017.9081084894001       -2.6428381124309475
   4055.0853544838392       -2.6430667564848576
   4092.6065973001096       -2.6431869228543756
   4130.4750199016144       -2.6431870243589275
   4168.6938347033547       -2.6431942290894068
   4207.2662838444421       -2.6434226992390046
   4246.1956394631297       -2.6436510603592307
   4285.4852039743919       -2.6438801638862381
   4325.1383103500884       -2.6441090163682262
   4365.1583224016567       -2.6443049420119804
   4405.5486350655347       -2.6443050435214621
   4446.3126746910839       -2.6443051450309007
   4487.4538993313226       -2.6444600499201880
   4528.9757990362041       -2.6446883412391249
   4570.8818961487514       -2.6448581372627245
   4613.1757456037903       -2.6448582385548720
   4655.8609352295907       -2.6448583398469827
   4698.9410860521511       -2.6450435753649515
   4742.4198526024484       -2.6452713941791859
   4786.3009232263803       -2.6454990462399750
   4830.5880203977285       -2.6457265395994662
   4875.2849010338605       -2.6459538811786105
   4920.3953568145107       -2.6459711400885300
   4965.9232145033575       -2.6459712410275338
   5011.8723362727251       -2.6460806118945941
   5058.2466200311374       -2.6463077285285488
   5105.0499997540646       -2.6465347068658804
   5152.2864458175618       -2.6467615508411728
   5199.9599653351625       -2.6469882637868705
   5248.0746024977234       -2.6470805259933927
   5296.6344389165806       -2.6470806266391373
   5345.6435939697139       -2.6471146517394866
   5395.1062251512785       -2.6473411660141828
   5445.0265284242087       -2.6475675555927274
   5495.4087385762487       -2.6477938222755384
   5546.2571295791049       -2.6480199675675808
   5597.5760149511043       -2.6481868522736751
   5649.3697481230229       -2.6481869526530186
   5701.6427228074781       -2.6481870530323386
   5754.3993733715661       -2.6483720011446263
   5807.6441752131241       -2.6485978411793294
   5861.3816451402845       -2.6487390860892539
   5915.6163417547432       -2.6487391863401464
   5970.3528658383657       -2.6487392865910162
   6025.5958607435805       -2.6489494037526033
   6081.3500127871766       -2.6491749437465479
   6137.6200516479457       -2.6494003674020647
   6194.4107507678118       -2.6496256751324365
   6251.7269277568621       -2.6498411552375152
   6309.5734448019302       -2.6498412552361192
   6367.9552090791622       -2.6498413552347007
   6426.8771731701936       -2.6499764128828072
   6486.3443354823885       -2.6502014257461104
   6546.3617406727471       -2.6504263235984076
   6606.9344800759645       -2.6506505206501929
   6668.0676921362183       -2.6508741356274439
   6729.7665628431823       -2.6509386634712633
   6792.0363261718430       -2.6509387628276970
   6854.8822645266200       -2.6509988947803218
   6918.3097091893624       -2.6512276434659428
   6982.3240407717185       -2.6514514394796174
   7046.9306896714670       -2.6516752559479015
   7112.1351365332957       -2.6518990687324124
   7177.9429127136154       -2.6520377447041312
   7244.3596007499063       -2.6520378441007768
   7311.3908348341720       -2.6520379434974157
   7379.0423012910151       -2.6522476508341555
   7447.3197390598889       -2.6524713632591235
   7516.2289401820526       -2.6525847713588560
   7585.7757502918357       -2.6525848706936332
   7655.9660691125619       -2.6525961050913409
   7726.8058509570210       -2.6528197069658268
   7798.3011052325855       -2.6530432236812933
   7870.4578969509848       -2.6532666468525474
   7943.2823472428136       -2.6534899701107171
   8016.7806338767896       -2.6536761890504046
   8090.9589917838211       -2.6536762873563244
   8165.8237135859226       -2.6536763856623495
   8241.3811501300206       -2.6538355643793334
   8317.6377110267094       -2.6540624319771711
   8394.5998651939735       -2.6542846000052158
   8472.2741414059637       -2.6545069547546358
   8550.6671288468315       -2.6547294019487344
   8629.7854776697022       -2.6547671869992944
   8709.6358995608061       -2.6547672858117841
   8790.2251683088416       -2.6548534785274120
   8871.5601203796086       -2.6550760539333695
   8953.6476554959372       -2.6552961857617330
   9036.4947372230145       -2.6555198913573630
   9120.1083935590959       -2.6557426642402491
   9204.4957175317122       -2.6558540585537407
   9289.6638677993633       -2.6558541572610856
